tweet_id,favorite_count,retweet_count,retweet_status,url
892420643555336193,34186,7090,Original tweet,https://t.co/MgUWQ76dJU
892177421306343426,29647,5345,Original tweet,https://t.co/0Xxu71qeIV
891815181378084864,22321,3517,Original tweet,https://t.co/wUnZnhtVJB
891689557279858688,37354,7294,Original tweet,https://t.co/tD36da7qLQ
891327558926688256,35697,7833,Original tweet,https://t.co/AtUZn91f7f
891087950875897856,18021,2634,Original tweet,https://t.co/kQ04fDDRmh
890971913173991426,10487,1686,Original tweet,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl
890729181411237888,57471,15943,Original tweet,https://t.co/v0nONBcwxq
890609185150312448,24808,3661,Original tweet,https://t.co/9TwLuAGH0b
890240255349198849,28283,6159,Original tweet,https://t.co/t1bfwz5S2A
890006608113172480,27316,6217,Original tweet,https://t.co/dVPW0B0Mme
889880896479866881,24855,4214,Original tweet,https://t.co/u1XPQMl29g
889665388333682689,42521,8444,Original tweet,https://t.co/BxvuXk0UCm
889638837579907072,23926,3755,Original tweet,https://t.co/f8dEDcrKSR
889531135344209921,13496,1897,Original tweet,https://t.co/y70o6h3isq
889278841981685760,22354,4489,Original tweet,https://t.co/WpHvrQedPb
888917238123831296,25921,3801,Original tweet,https://t.co/chxruIOUJN
888804989199671297,22720,3585,Original tweet,https://t.co/HTQ77yNQ5K
888554962724278272,17535,2910,Original tweet,https://t.co/YnYAFCTTiK
888078434458587136,19373,2932,Original tweet,https://t.co/DK7iDPfuRX
887705289381826560,26915,4572,Original tweet,https://t.co/PhrUk20Q64
887517139158093824,41188,9944,Original tweet,https://t.co/20VrLAA8ba
887473957103951883,60852,15184,Original tweet,https://t.co/cLyzpcUcMX
887343217045368832,29908,8907,Original tweet,https://t.co/WZqNqygEyV
887101392804085760,27274,5043,Original tweet,https://t.co/4Ad1jzJSdp
886983233522544640,30724,6403,Original tweet,https://t.co/I6oNy0CgiT
886736880519319552,10609,2664,Original tweet,https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b
886680336477933568,19963,3771,Original tweet,https://t.co/BCoWue0abA
886366144734445568,18750,2663,Original tweet,https://t.co/RGE08MIJox
886267009285017600,104,3,Original tweet,n
886258384151887873,24802,5343,Original tweet,https://t.co/xZDA9Qsq1O
886054160059072513,0,93,Original tweet,https://t.co/WxwJmvjfxo
885984800019947520,28913,5679,Original tweet,https://t.co/BuveP0uMF1
885528943205470208,31937,5390,Original tweet,https://t.co/tp1kQ8i9JF
885518971528720385,18209,3144,Original tweet,https://t.co/gzLHboL7Sk
885311592912609280,0,15615,Original tweet,https://t.co/SATN4If5H5
885167619883638784,19460,3696,Original tweet,https://t.co/44ItaMubBf
884925521741709313,67953,15202,Original tweet,https://t.co/MYJvdlNRVa
884876753390489601,24667,4714,Original tweet,https://t.co/74TKAUsLkO
884562892145688576,21563,3958,Original tweet,https://t.co/1r4MFCbCX5
884441805382717440,24131,4843,Original tweet,https://t.co/vvBOcC2VdC
884247878851493888,63970,17085,Original tweet,https://t.co/uF3pQ8Wubj
